,1.2만,4년 전,와 개좋네        
@kendry7681,6,4년 전,                     
@user-uq4ey3te9h,6,3년 전(수정됨),요한이형 나 차한번 태워줘 기다릴게 절대 팔지마  아니 근데 또   라리는 또 뭐야 하 나 자꾸 이러면 심장 멈춘다 
@sujinheaven,1,3년 전,솔까 이건    한요한 입덕곡   
@user-vn7xj8ok5u,2,4년 전,한요한 입덕한다
@sugasuga7792,27,4년 전,                        
@Shvalsegs,5,2년 전,오랜만에 듣는데 국내 멈블랩원탑은 킫밀인거같다   
@kridlwk,0,1년 전,내가이걸왜지금들엇지  하여튼  좋음
@bparea00,2,4년 전,                                                  
@rilifek1ha,49,4년 전(수정됨),      잡아 땡기네 팬티를  이라고하신분 누구야          
@user-yf1bg4eh9o,28,3년 전(수정됨),아닠         키드밀리 보고 재키와이인줄 알았네          
@cavepotato7630,1,3년 전,                         
@user-fx2ne5sm4f,2,4년 전(수정됨),밑바닥부터 올라온 남자 음악 하난 진짜 기가 막힌 남자 유머감각도 있는 남자 악기도 잘 다루는 남자     맞아
@daphneho1448,3,4년 전,         
@user-m6h4e648,76,4년 전,장용준의 빈자리를 채워주는 키드밀리 
@luster_757,1,4년 전,라이트를 저래 켜놓으니 차가 당연히 방전되지              고퀄뮤비 찍어줘서 고마워 형
@user-uu3ss9gf4v,0,4년 전,진짜 이건 내   손가락발가락안에 들어가는 개띵곡이다   진심 사랑해 요한이형   
@1llionaireRecordsOfficial,16,4년 전,애시 아일랜드 느낌도 있는데 좋다
@kormiketyson669,75,4년 전,     나오는 미모의 여성래펀 누구신가요   스타크래프트 잘하게 생기셨는데   루  
@user-wg1ux3qi4m,0,3년 전,봐도봐도 역시 한요한 님 은 탑원                       숭이
@nirmalarana3819,1,4년 전,                                   
@odaostar,17,4년 전,                                    
@user-pw8xx3oe2x,2,4년 전,밀리뇨한    사랑해
@molly3711,2,4년 전,                                
@user-cb5eb2uo5k,0,4년 전,근데 아무리 이 형이 진지한 분위기나 표정을 뮤비에서 보여준다 한들 언제나 개웃겨   
@user-xl4iy7by4q,3,4년 전,진짜 이번 앨범 너무 갖고싶다    이런 감성을 한국에서 듣다니 너무 행복하다            그래서 앨범은 어디서 사야되죠 
@snackchip06,61,3년 전,노엘  어 형 신곡준비해  한요한  어 지금 녹음하러갈려고 내 속도는      로  노엘   뜨끔 
@user-rk8tj4ky9e,0,4년 전,진심 흠잡을데가 없음  
@lizetteavila4415,1,4년 전,                            
@aleckarmen3887,5,3년 전,                                               
@yroooo3970,3,4년 전,키드밀리 진짜    쩐다   
@user-wd1pl2gl9o,2,4년 전,킫밀 부분 넘 좋다
